[2026-08-04T17:22:44.309620+00:00] 🚀 Initializing Async gRPC Streamer (Signal Handler Active)
[2026-08-04T17:22:44.309741+00:00]    Target: 127.0.0.1:50051 | Max FPS: 60.0 | Log File: /data/data/com.termux/files/home/Tordial-GS-_Manifold/Jiggler/telemetry.log
[2026-08-04T17:24:34.310040+00:00] 📊 [NOMINAL  ] [Batch #006095] FPS:  55.7 /  60.0 target | SIMD: 2.80ms (357.27 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:35.316162+00:00] 📊 [NOMINAL  ] [Batch #006151] FPS:  55.7 /  60.0 target | SIMD: 2.91ms (343.29 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:36.328692+00:00] 📊 [NOMINAL  ] [Batch #006206] FPS:  54.3 /  60.0 target | SIMD: 2.99ms (334.08 M/s) | Payload:  1.43 KB/s
[2026-08-04T17:24:37.332999+00:00] 📊 [NOMINAL  ] [Batch #006262] FPS:  55.8 /  60.0 target | SIMD: 3.09ms (323.38 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:38.347335+00:00] 📊 [NOMINAL  ] [Batch #006319] FPS:  56.2 /  60.0 target | SIMD: 2.86ms (349.34 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:24:39.349861+00:00] 📊 [NOMINAL  ] [Batch #006375] FPS:  55.9 /  60.0 target | SIMD: 2.90ms (345.39 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:40.355293+00:00] 📊 [NOMINAL  ] [Batch #006431] FPS:  55.7 /  60.0 target | SIMD: 2.85ms (350.52 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:41.356198+00:00] 📊 [NOMINAL  ] [Batch #006486] FPS:  55.0 /  60.0 target | SIMD: 3.07ms (325.24 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:24:42.363970+00:00] 📊 [NOMINAL  ] [Batch #006541] FPS:  54.6 /  60.0 target | SIMD: 3.30ms (303.10 M/s) | Payload:  1.44 KB/s
[2026-08-04T17:24:43.375188+00:00] 📊 [NOMINAL  ] [Batch #006597] FPS:  55.4 /  60.0 target | SIMD: 2.72ms (367.25 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:44.383541+00:00] 📊 [NOMINAL  ] [Batch #006653] FPS:  55.5 /  60.0 target | SIMD: 3.18ms (314.59 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:45.384029+00:00] 📊 [NOMINAL  ] [Batch #006709] FPS:  56.0 /  60.0 target | SIMD: 2.12ms (472.60 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:24:46.388965+00:00] 📊 [NOMINAL  ] [Batch #006765] FPS:  55.7 /  60.0 target | SIMD: 2.94ms (340.07 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:47.390344+00:00] 📊 [NOMINAL  ] [Batch #006820] FPS:  54.9 /  60.0 target | SIMD: 3.40ms (293.81 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:24:48.404894+00:00] 📊 [NOMINAL  ] [Batch #006877] FPS:  56.2 /  60.0 target | SIMD: 3.15ms (316.99 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:24:49.417578+00:00] 📊 [NOMINAL  ] [Batch #006934] FPS:  56.3 /  60.0 target | SIMD: 2.95ms (338.80 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:24:50.417576+00:00] 📊 [NOMINAL  ] [Batch #006990] FPS:  56.0 /  60.0 target | SIMD: 2.78ms (360.07 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:24:51.428928+00:00] 📊 [NOMINAL  ] [Batch #007046] FPS:  55.4 /  60.0 target | SIMD: 2.65ms (377.59 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:52.438786+00:00] 📊 [NOMINAL  ] [Batch #007103] FPS:  56.4 /  60.0 target | SIMD: 1.75ms (570.60 M/s) | Payload:  1.49 KB/s
[2026-08-04T17:24:53.454630+00:00] 📊 [NOMINAL  ] [Batch #007159] FPS:  55.1 /  60.0 target | SIMD: 2.89ms (345.94 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:24:54.463629+00:00] 📊 [NOMINAL  ] [Batch #007215] FPS:  55.5 /  60.0 target | SIMD: 2.92ms (342.20 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:55.472726+00:00] 📊 [NOMINAL  ] [Batch #007270] FPS:  54.5 /  60.0 target | SIMD: 3.28ms (304.95 M/s) | Payload:  1.44 KB/s
[2026-08-04T17:24:56.472735+00:00] 📊 [NOMINAL  ] [Batch #007325] FPS:  55.0 /  60.0 target | SIMD: 3.35ms (298.47 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:24:57.476347+00:00] 📊 [NOMINAL  ] [Batch #007380] FPS:  54.8 /  60.0 target | SIMD: 4.05ms (246.89 M/s) | Payload:  1.44 KB/s
[2026-08-04T17:24:58.487624+00:00] 📊 [NOMINAL  ] [Batch #007436] FPS:  55.4 /  60.0 target | SIMD: 2.99ms (334.99 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:59.488716+00:00] 📊 [NOMINAL  ] [Batch #007492] FPS:  55.9 /  60.0 target | SIMD: 2.04ms (490.34 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:25:00.490836+00:00] 📊 [NOMINAL  ] [Batch #007548] FPS:  55.9 /  60.0 target | SIMD: 2.39ms (417.56 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:25:01.503794+00:00] 📊 [NOMINAL  ] [Batch #007605] FPS:  56.3 /  60.0 target | SIMD: 2.36ms (423.29 M/s) | Payload:  1.48 KB/s
